id,created_at,updated_at,area_name,left_latitude,left_longitude,right_latitude,right_longitude,row_name
26,30:12.4,30:12.4,A 2,10.462290338842,105.645297956015,10.462290338842,105.645297956015,VH- Số5
27,30:12.4,30:12.4,A 2,10.462320459618,105.645312742233,10.462365450839,105.645295552263,VH- Số6
28,30:12.4,30:12.4,A 2,10.462180854539,105.644831059890,10.462088651735,105.644880360401,Hàng 1
29,30:12.5,30:12.5,A 2,10.462205891432,105.644850009234,10.462110172445,105.644916001601,Hàng 2
30,30:12.6,30:12.6,A 2,10.462222796088,105.644878618945,10.462088906457,105.644962773732,Hàng 3
31,30:12.7,30:12.7,A 2,10.462236645685,105.644902058227,10.462105197190,105.644985659721,Hàng 4
32,30:12.9,30:12.9,A 2,10.462254513688,105.644930369256,10.462154163837,105.644988110972,Hàng 5
33,30:13.0,30:13.0,A 2,10.462273266113,105.644957417054,10.462175415464,105.645027200614,Hàng 6
34,30:13.1,30:13.1,A 2,10.462291136093,105.644984534441,10.462156184694,105.645075074853,Hàng 7
35,30:13.2,30:13.2,A 2,10.462307376646,105.645011238702,10.462171798953,105.645100719889,Hàng 8
36,30:13.3,30:13.3,A 2,10.462320902926,105.645039601437,10.462218254626,105.645100483110,Hàng 9
37,30:13.4,30:13.4,A 2,10.462335241735,105.645064650195,10.462239234150,105.645138331546,Hàng 10
38,30:13.5,30:13.5,A 2,10.462352433159,105.645092182204,10.462218074279,105.645181121900,Hàng 11
39,30:13.7,30:13.7,A 2,10.462364263053,105.645121581475,10.462233208816,105.645206102882,Hàng 12
40,30:13.8,30:13.8,A 2,10.462377045241,105.645154155534,10.462265218547,105.645226097228,Hàng 13
41,30:13.9,30:13.9,A 2,10.462385075994,105.645187284891,10.462385075994,105.645187284891,Hàng 14
42,30:14.0,30:14.0,A 2,10.462386752098,105.645228745145,10.462386752098,105.645228745145,Hàng 15
43,30:14.0,30:14.0,B 1,10.461415224144,105.645471852593,10.461325358245,105.645527277496,Hàng 1
44,30:14.1,30:14.1,B 1,10.461432891915,105.645496608696,10.461339525356,105.645552111574,Hàng 2
45,30:14.2,30:14.2,B 1,10.461451155599,105.645521515881,10.461354066330,105.645579293407,Hàng 3
46,30:14.3,30:14.3,B 1,10.461469420885,105.645548998274,10.461376655087,105.645612377886,Hàng 4
47,30:14.4,30:14.4,B 1,10.461484460910,105.645572490901,10.461390448324,105.645634864219,Hàng 5
48,30:14.5,30:14.5,B 1,10.461501086922,105.645598913968,10.461407147833,105.645659696669,Hàng 6
49,30:14.6,30:14.6,B 1,10.461518085203,105.645625109572,10.461424219669,105.645684301508,Hàng 7
50,30:14.7,30:14.7,B 1,10.461537318708,105.645652515601,10.461445912088,105.645713296525,Hàng 8
51,30:14.7,30:14.7,B 1,10.461557518834,105.645677270056,10.461464704955,105.645738034907,Hàng 9
52,30:14.8,30:14.8,B 1,10.461582186224,105.645699294955,10.461485388306,105.645761865727,Hàng 10
53,30:14.9,30:14.9,B 1,10.461609608072,105.645719121572,10.461516900963,105.645781364112,Hàng 11
54,30:15.0,30:15.0,B 1,10.461643209924,105.645735687332,10.461564882172,105.645792378355,Hàng 12
55,30:15.1,30:15.1,B 1,10.461682247240,105.645749447162,10.461637277443,105.645782883946,Hàng 13
56,30:15.1,30:15.1,B 2,10.462406650226,105.644837003468,10.462315860642,105.644893878619,Hàng 1
57,30:15.2,30:15.2,B 2,10.462420230685,105.644863891187,10.462328101435,105.644918536121,Hàng 2
58,30:15.2,30:15.2,B 2,10.462433811144,105.644890778906,10.462345283010,105.644945925514,Hàng 3
59,30:15.3,30:15.3,B 2,10.462448815835,105.644917734673,10.462362064020,105.644972165643,Hàng 4
60,30:15.4,30:15.4,B 2,10.462462733798,105.644942070458,10.462375119139,105.644998070386,Hàng 5
61,30:15.5,30:15.5,B 2,10.462479044309,105.644974349852,10.462389966060,105.645031579652,Hàng 6
62,30:15.6,30:15.6,B 2,10.462494862222,105.645000339583,10.462402160782,105.645057552270,Hàng 7
63,30:15.7,30:15.7,B 2,10.462511088963,105.645029363505,10.462419256664,105.645088771656,Hàng 8
64,30:15.8,30:15.8,B 2,10.462524129699,105.645060803279,10.462434763687,105.645119588227,Hàng 9
65,30:15.9,30:15.9,B 2,10.462531812425,105.645091763733,10.462443912927,105.645144216653,Hàng 10
66,30:16.0,30:16.0,B 2,10.462536651099,105.645129622552,10.462447972196,105.645179280917,Hàng 11
67,30:16.0,30:16.0,B 2,10.462522802359,105.645176006110,10.462450114741,105.645218721359,Hàng 12
68,30:16.1,30:16.1,B 2,10.462487667245,105.645234645607,10.462440809433,105.645262409498,Hàng 13
69,30:16.1,30:16.1,C 1,10.461782018165,105.645791772832,10.461823740490,105.645807567538,VH Số 1
70,30:16.1,30:16.1,C 1,10.461754333416,105.645810544326,10.461629109932,105.645886594617,Hàng 1
